4OR-A Quarterly Journal of Operations Research,管理科学 ,4区,OPERATIONS RESEARCH & MANAGEMENT SCIENCE;运筹学与管理科学;1区;3区;4区,否,否,管理学 ,4区,OPERATIONS RESEARCH & MANAGEMENT SCIENCE;运筹学与管理科学;1区;3区;4区,否,否
JOURNAL OF FISH DISEASES,LetPub助力作者发表在《J FISH DIS》上的文章案例，致谢部分提及LetPub---1篇,农林科学 ,2区,FISHERIES;渔业;2区;3区;3区;MARINE & FRESHWATER BIOLOGY;海洋与淡水生物学;1区;4区;3区;VETERINARY SCIENCES;兽医学;1区;2区;2区,否,否,农林科学 ,3区,FISHERIES;渔业;2区;3区;3区;MARINE & FRESHWATER BIOLOGY;海洋与淡水生物学;1区;4区;3区;VETERINARY SCIENCES;兽医学;1区;2区;2区,否,否
Journal of Fixed Point Theory and Applications,数学 ,3区,MATHEMATICS;数学;3区;3区;3区;MATHEMATICS& APPLIED;应用数学;2区;1区;4区,否,否,数学 ,2区,MATHEMATICS;数学;3区;3区;3区;MATHEMATICS& APPLIED;应用数学;2区;1区;4区,否,否
JOURNAL OF FLUID MECHANICS,工程技术 ,3区,MECHANICS;力学;3区;3区;2区;PHYSICS& FLUIDS & PLASMAS;物理：流体与等离子体;4区;2区;2区,否,否,工程技术 ,2区,MECHANICS;力学;3区;3区;2区;PHYSICS& FLUIDS & PLASMAS;物理：流体与等离子体;4区;2区;2区,是,否
JOURNAL OF FLUIDS AND STRUCTURES,工程技术 ,3区,ENGINEERING& MECHANICAL;工程：机械;2区;4区;3区;MECHANICS;力学;2区;3区;2区,否,否,工程技术 ,1区,ENGINEERING& MECHANICAL;工程：机械;2区;4区;3区;MECHANICS;力学;2区;3区;2区,是,否
JOURNAL OF FLUIDS ENGINEERING-TRANSACTIONS OF THE ASME,期刊J FLUID ENG-T ASME推荐LetPub的编辑服务,工程技术 ,4区,ENGINEERING& MECHANICAL;工程：机械;2区;1区;4区,否,否,工程技术 ,4区,ENGINEERING& MECHANICAL;工程：机械;2区;1区;4区,否,否
JOURNAL OF FLUORESCENCE,化学 ,4区,BIOCHEMICAL RESEARCH METHODS;生化研究方法;4区;4区;4区;CHEMISTRY& ANALYTICAL;分析化学;4区;3区;4区;CHEMISTRY& PHYSICAL;物理化学;3区;4区;4区,否,否,化学 ,4区,BIOCHEMICAL RESEARCH METHODS;生化研究方法;4区;4区;4区;CHEMISTRY& ANALYTICAL;分析化学;4区;3区;4区;CHEMISTRY& PHYSICAL;物理化学;3区;4区;4区,否,否
JOURNAL OF FLUORINE CHEMISTRY,化学 ,4区,CHEMISTRY& INORGANIC & NUCLEAR;无机化学与核化学;2区;4区;3区;CHEMISTRY& ORGANIC;有机化学;3区;4区;4区,否,否,化学 ,4区,CHEMISTRY& INORGANIC & NUCLEAR;无机化学与核化学;2区;4区;3区;CHEMISTRY& ORGANIC;有机化学;3区;4区;4区,否,否
Journal of Food Agriculture & Environment,
JOURNAL OF FOOD AND DRUG ANALYSIS,医学 ,3区,FOOD SCIENCE & TECHNOLOGY;食品科技;3区;2区;2区;PHARMACOLOGY & PHARMACY;药学;1区;3区;2区,否,否,医学 ,2区,FOOD SCIENCE & TECHNOLOGY;食品科技;3区;2区;2区;PHARMACOLOGY & PHARMACY;药学;1区;3区;2区,否,否
Journal of Food and Nutrition Research,农林科学 ,4区,FOOD SCIENCE & TECHNOLOGY;食品科技;3区;1区;4区,否,否,农林科学 ,4区,FOOD SCIENCE & TECHNOLOGY;食品科技;3区;1区;4区,否,否
JOURNAL OF FOOD BIOCHEMISTRY,生物 ,4区,BIOCHEMISTRY & MOLECULAR BIOLOGY;生化与分子生物学;3区;1区;4区;FOOD SCIENCE & TECHNOLOGY;食品科技;3区;2区;4区,否,否,农林科学 ,4区,BIOCHEMISTRY & MOLECULAR BIOLOGY;生化与分子生物学;3区;1区;4区;FOOD SCIENCE & TECHNOLOGY;食品科技;3区;2区;4区,否,否
JOURNAL OF FOOD COMPOSITION AND ANALYSIS,工程技术 ,3区,CHEMISTRY& APPLIED;应用化学;3区;4区;3区;FOOD SCIENCE & TECHNOLOGY;食品科技;2区;2区;2区,否,否,工程技术 ,2区,CHEMISTRY& APPLIED;应用化学;3区;4区;3区;FOOD SCIENCE & TECHNOLOGY;食品科技;2区;2区;2区,否,否
JOURNAL OF FOOD ENGINEERING,工程技术 ,2区,ENGINEERING& CHEMICAL;工程：化工;4区;4区;2区;FOOD SCIENCE & TECHNOLOGY;食品科技;1区;1区;2区,否,否,农林科学 ,1区,ENGINEERING& CHEMICAL;工程：化工;4区;4区;2区;FOOD SCIENCE & TECHNOLOGY;食品科技;1区;1区;2区,是,否
JOURNAL OF FOOD LIPIDS,
JOURNAL OF FOOD PROCESS ENGINEERING,工程技术 ,4区,ENGINEERING& CHEMICAL;工程：化工;1区;2区;4区;FOOD SCIENCE & TECHNOLOGY;食品科技;1区;4区;4区,否,否,农林科学 ,4区,ENGINEERING& CHEMICAL;工程：化工;1区;2区;4区;FOOD SCIENCE & TECHNOLOGY;食品科技;1区;4区;4区,否,否
JOURNAL OF FOOD PROCESSING AND PRESERVATION,LetPub助力作者发表在《J FOOD PROCESS PRES》上的文章案例，致谢部分提及LetPub---2篇,工程技术 ,4区,FOOD SCIENCE & TECHNOLOGY;食品科技;1区;2区;4区,否,否,农林科学 ,4区,FOOD SCIENCE & TECHNOLOGY;食品科技;1区;2区;4区,否,否
JOURNAL OF FOOD PROTECTION,工程技术 ,4区,BIOTECHNOLOGY & APPLIED MICROBIOLOGY;生物工程与应用微生物;1区;4区;4区;FOOD SCIENCE & TECHNOLOGY;食品科技;2区;2区;4区,否,否,农林科学 ,3区,BIOTECHNOLOGY & APPLIED MICROBIOLOGY;生物工程与应用微生物;1区;4区;4区;FOOD SCIENCE & TECHNOLOGY;食品科技;2区;2区;4区,否,否
JOURNAL OF FOOD QUALITY,LetPub助力作者发表在《J FOOD QUALITY》上的文章案例，致谢部分提及LetPub---1篇,工程技术 ,4区,FOOD SCIENCE & TECHNOLOGY;食品科技;2区;2区;4区,否,否,农林科学 ,4区,FOOD SCIENCE & TECHNOLOGY;食品科技;2区;2区;4区,否,否
JOURNAL OF FOOD SAFETY,工程技术 ,4区,BIOTECHNOLOGY & APPLIED MICROBIOLOGY;生物工程与应用微生物;1区;4区;4区;FOOD SCIENCE & TECHNOLOGY;食品科技;3区;1区;4区,否,否,农林科学 ,3区,BIOTECHNOLOGY & APPLIED MICROBIOLOGY;生物工程与应用微生物;1区;4区;4区;FOOD SCIENCE & TECHNOLOGY;食品科技;3区;1区;4区,否,否
JOURNAL OF FOOD SCIENCE,LetPub助力作者发表在《J FOOD SCI》上的文章案例，致谢部分提及LetPub---2篇,工程技术 ,3区,FOOD SCIENCE & TECHNOLOGY;食品科技;2区;4区;3区,否,否,农林科学 ,3区,FOOD SCIENCE & TECHNOLOGY;食品科技;2区;4区;3区,否,否
JOURNAL OF FOOD SCIENCE AND TECHNOLOGY-MYSORE,工程技术 ,4区,FOOD SCIENCE & TECHNOLOGY;食品科技;3区;3区;4区,否,否,农林科学 ,3区,FOOD SCIENCE & TECHNOLOGY;食品科技;3区;3区;4区,否,否
Journal of Foot & Ankle Surgery,医学 ,4区,ORTHOPEDICS;骨科;3区;1区;4区;SURGERY;外科;4区;3区;4区,否,否,医学 ,4区,ORTHOPEDICS;骨科;3区;1区;4区;SURGERY;外科;4区;3区;4区,否,否
JOURNAL OF FORAMINIFERAL RESEARCH,地学 ,4区,PALEONTOLOGY;古生物学;4区;4区;3区,否,否,地球科学 ,3区,PALEONTOLOGY;古生物学;4区;4区;3区,否,否
JOURNAL OF FORENSIC SCIENCES,医学 ,4区,MEDICINE& LEGAL;医学：法;4区;2区;4区,否,否,医学 ,4区,MEDICINE& LEGAL;医学：法;4区;2区;4区,否,否
Journal of Forest Economics,农林科学 ,3区,FORESTRY;林学;4区;4区;4区,否,否,农林科学 ,3区,FORESTRY;林学;4区;4区;4区,否,否
Journal of Forest Research,农林科学 ,4区,FORESTRY;林学;2区;3区;4区,否,否,农林科学 ,4区,FORESTRY;林学;2区;3区;4区,否,否
JOURNAL OF FORESTRY,农林科学 ,2区,FORESTRY;林学;3区;3区;2区,否,否,农林科学 ,3区,FORESTRY;林学;3区;3区;2区,否,否
JOURNAL OF FOURIER ANALYSIS AND APPLICATIONS,数学 ,2区,MATHEMATICS& APPLIED;应用数学;4区;4区;3区,否,否,数学 ,3区,MATHEMATICS& APPLIED;应用数学;4区;4区;3区,否,否
JOURNAL OF FRESHWATER ECOLOGY,环境科学与生态学 ,4区,ECOLOGY;生态学;1区;3区;4区;LIMNOLOGY;湖沼学;2区;3区;4区,否,否,环境科学与生态学 ,4区,ECOLOGY;生态学;1区;3区;4区;LIMNOLOGY;湖沼学;2区;3区;4区,否,否
Journal of Friction and Wear,工程技术 ,4区,ENGINEERING& MECHANICAL;工程：机械;3区;1区;4区;MATERIALS SCIENCE& MULTIDISCIPLINARY;材料科学：综合;2区;4区;4区,否,否,工程技术 ,4区,ENGINEERING& MECHANICAL;工程：机械;3区;1区;4区;MATERIALS SCIENCE& MULTIDISCIPLINARY;材料科学：综合;2区;4区;4区,否,否
Journal of Fuel Cell Science and Technology,期刊J FUEL CELL SCI TECH推荐LetPub的编辑服务,
Journal of Function Spaces and Applications,
JOURNAL OF FUNCTIONAL ANALYSIS,数学 ,2区,MATHEMATICS;数学;1区;4区;2区,是,否,数学 ,1区,MATHEMATICS;数学;1区;4区;2区,是,否
JOURNAL OF FUNCTIONAL PROGRAMMING,工程技术 ,4区,COMPUTER SCIENCE& SOFTWARE ENGINEERING;计算机：软件工程;2区;2区;4区,否,否,计算机科学 ,3区,COMPUTER SCIENCE& SOFTWARE ENGINEERING;计算机：软件工程;2区;2区;4区,否,否
JOURNAL OF FUSION ENERGY,工程技术 ,4区,NUCLEAR SCIENCE & TECHNOLOGY;核科学技术;4区;4区;4区,否,否,工程技术 ,4区,NUCLEAR SCIENCE & TECHNOLOGY;核科学技术;4区;4区;4区,否,否
JOURNAL OF GASTROENTEROLOGY,医学 ,2区,GASTROENTEROLOGY & HEPATOLOGY;胃肠肝病学;1区;2区;2区,否,否,医学 ,2区,GASTROENTEROLOGY & HEPATOLOGY;胃肠肝病学;1区;2区;2区,否,否
JOURNAL OF GASTROENTEROLOGY AND HEPATOLOGY,医学 ,2区,GASTROENTEROLOGY & HEPATOLOGY;胃肠肝病学;1区;1区;3区,否,否,医学 ,3区,GASTROENTEROLOGY & HEPATOLOGY;胃肠肝病学;1区;1区;3区,否,否
Journal of Gastrointestinal and Liver Diseases,医学 ,4区,GASTROENTEROLOGY & HEPATOLOGY;胃肠肝病学;3区;2区;4区,否,否,医学 ,4区,GASTROENTEROLOGY & HEPATOLOGY;胃肠肝病学;3区;2区;4区,否,否
JOURNAL OF GASTROINTESTINAL SURGERY,医学 ,3区,GASTROENTEROLOGY & HEPATOLOGY;胃肠肝病学;2区;2区;4区;SURGERY;外科;4区;1区;3区,否,否,医学 ,3区,GASTROENTEROLOGY & HEPATOLOGY;胃肠肝病学;2区;2区;4区;SURGERY;外科;4区;1区;3区,否,否
JOURNAL OF GENE MEDICINE,医学 ,4区,BIOTECHNOLOGY & APPLIED MICROBIOLOGY;生物工程与应用微生物;1区;1区;4区;GENETICS & HEREDITY;遗传学;3区;3区;4区;MEDICINE& RESEARCH & EXPERIMENTAL;医学：研究与实验;2区;3区;4区,否,否,医学 ,4区,BIOTECHNOLOGY & APPLIED MICROBIOLOGY;生物工程与应用微生物;1区;1区;4区;GENETICS & HEREDITY;遗传学;3区;3区;4区;MEDICINE& RESEARCH & EXPERIMENTAL;医学：研究与实验;2区;3区;4区,否,否
JOURNAL OF GENERAL AND APPLIED MICROBIOLOGY,生物 ,4区,BIOTECHNOLOGY & APPLIED MICROBIOLOGY;生物工程与应用微生物;1区;4区;4区;MICROBIOLOGY;微生物学;2区;3区;4区,否,否,生物学 ,4区,BIOTECHNOLOGY & APPLIED MICROBIOLOGY;生物工程与应用微生物;1区;4区;4区;MICROBIOLOGY;微生物学;2区;3区;4区,否,否
JOURNAL OF GENERAL INTERNAL MEDICINE,医学 ,2区,HEALTH CARE SCIENCES & SERVICES;卫生保健与服务;3区;4区;2区;MEDICINE& GENERAL & INTERNAL;医学：内科;2区;1区;2区,否,否,医学 ,2区,HEALTH CARE SCIENCES & SERVICES;卫生保健与服务;3区;4区;2区;MEDICINE& GENERAL & INTERNAL;医学：内科;2区;1区;2区,是,否
JOURNAL OF GENERAL PHYSIOLOGY,医学 ,2区,PHYSIOLOGY;生理学;3区;3区;2区,否,否,医学 ,2区,PHYSIOLOGY;生理学;3区;3区;2区,是,否
JOURNAL OF GENERAL PLANT PATHOLOGY,农林科学 ,4区,PLANT SCIENCES;植物科学;1区;1区;4区,否,否,农林科学 ,4区,PLANT SCIENCES;植物科学;1区;1区;4区,否,否
JOURNAL OF GENERAL VIROLOGY,医学 ,3区,BIOTECHNOLOGY & APPLIED MICROBIOLOGY;生物工程与应用微生物;4区;1区;3区;VIROLOGY;病毒学;1区;4区;4区,否,否,医学 ,3区,BIOTECHNOLOGY & APPLIED MICROBIOLOGY;生物工程与应用微生物;4区;1区;3区;VIROLOGY;病毒学;1区;4区;4区,否,否
Journal of Genetic Counseling,医学 ,4区,GENETICS & HEREDITY;遗传学;1区;2区;4区,否,否,医学 ,2区,GENETICS & HEREDITY;遗传学;1区;2区;4区,否,否
JOURNAL OF GENETIC PSYCHOLOGY,医学 ,4区,PSYCHOLOGY;心理学;3区;2区;4区,否,否,心理学 ,4区,PSYCHOLOGY;心理学;3区;2区;4区,否,否
JOURNAL OF GENETICS,LetPub助力作者发表在《J GENET》上的文章案例，致谢部分提及LetPub---2篇,生物 ,4区,GENETICS & HEREDITY;遗传学;1区;2区;4区,否,否,生物学 ,4区,GENETICS & HEREDITY;遗传学;1区;2区;4区,否,否
Journal of Genetics and Genomics,近期经LetPub修改并发表在《J GENET GENOMICS》的论文范例,生物 ,2区,BIOCHEMISTRY & MOLECULAR BIOLOGY;生化与分子生物学;1区;3区;2区;GENETICS & HEREDITY;遗传学;1区;4区;2区,否,否,生物学 ,2区,BIOCHEMISTRY & MOLECULAR BIOLOGY;生化与分子生物学;1区;3区;2区;GENETICS & HEREDITY;遗传学;1区;4区;2区,否,否
JOURNAL OF GENETICS-CAMBRIDGE,
JOURNAL OF GEOCHEMICAL EXPLORATION,LetPub助力作者发表在《J GEOCHEM EXPLOR》上的文章案例，致谢部分提及LetPub---1篇,地学 ,3区,GEOCHEMISTRY & GEOPHYSICS;地球化学与地球物理;1区;4区;3区,否,否,地球科学 ,2区,GEOCHEMISTRY & GEOPHYSICS;地球化学与地球物理;1区;4区;3区,否,否
JOURNAL OF GEODESY,地学 ,2区,GEOCHEMISTRY & GEOPHYSICS;地球化学与地球物理;3区;1区;2区;REMOTE SENSING;遥感;4区;3区;2区,否,否,地球科学 ,1区,GEOCHEMISTRY & GEOPHYSICS;地球化学与地球物理;3区;1区;2区;REMOTE SENSING;遥感;4区;3区;2区,是,否
JOURNAL OF GEODYNAMICS,地学 ,3区,GEOCHEMISTRY & GEOPHYSICS;地球化学与地球物理;1区;4区;3区,否,否,地球科学 ,3区,GEOCHEMISTRY & GEOPHYSICS;地球化学与地球物理;1区;4区;3区,否,否
Journal of Geographical Sciences,地学 ,3区,GEOGRAPHY& PHYSICAL;自然地理;4区;2区;3区,否,否,地球科学 ,3区,GEOGRAPHY& PHYSICAL;自然地理;4区;2区;3区,否,否
JOURNAL OF GEOLOGY,地学 ,3区,GEOLOGY;地质学;2区;3区;3区,否,否,地球科学 ,4区,GEOLOGY;地质学;2区;3区;3区,否,否
JOURNAL OF GEOMETRIC ANALYSIS,数学 ,3区,MATHEMATICS;数学;3区;4区;3区,否,否,数学 ,2区,MATHEMATICS;数学;3区;4区;3区,否,否
JOURNAL OF GEOMETRY AND PHYSICS,数学 ,4区,MATHEMATICS;数学;3区;2区;3区;PHYSICS& MATHEMATICAL;物理：数学物理;2区;3区;4区,否,否,数学 ,4区,MATHEMATICS;数学;3区;2区;3区;PHYSICS& MATHEMATICAL;物理：数学物理;2区;3区;4区,否,否
JOURNAL OF GEOPHYSICAL RESEARCH,近期经LetPub修改并发表在《J GEOPHYS RES》的论文范例,
Journal of Geophysics and Engineering,经LetPub修改润色后发表在《J GEOPHYS ENG》上，作者来信感谢的范例---1篇,LetPub助力作者发表在《J GEOPHYS ENG》上的文章案例，致谢部分提及LetPub---1篇,
JOURNAL OF GEOTECHNICAL AND GEOENVIRONMENTAL ENGINEERING,工程技术 ,3区,ENGINEERING& GEOLOGICAL;工程：地质;2区;1区;2区;GEOSCIENCES& MULTIDISCIPLINARY;地球科学综合;3区;1区;3区,否,否,工程技术 ,2区,ENGINEERING& GEOLOGICAL;工程：地质;2区;1区;2区;GEOSCIENCES& MULTIDISCIPLINARY;地球科学综合;3区;1区;3区,否,否
JOURNAL OF GERIATRIC PSYCHIATRY AND NEUROLOGY,医学 ,3区,CLINICAL NEUROLOGY;临床神经病学;4区;1区;4区;GERIATRICS & GERONTOLOGY;老年医学;4区;1区;4区;PSYCHIATRY;精神病学;2区;4区;4区,否,否,医学 ,3区,CLINICAL NEUROLOGY;临床神经病学;4区;1区;4区;GERIATRICS & GERONTOLOGY;老年医学;4区;1区;4区;PSYCHIATRY;精神病学;2区;4区;4区,否,否
Journal of Gerontological Nursing,医学 ,4区,GERIATRICS & GERONTOLOGY;老年医学;1区;4区;4区;NURSING;护理;4区;3区;4区,否,否,医学 ,4区,GERIATRICS & GERONTOLOGY;老年医学;1区;4区;4区;NURSING;护理;4区;3区;4区,否,否
JOURNAL OF GLACIOLOGY,地学 ,2区,GEOGRAPHY& PHYSICAL;自然地理;4区;4区;3区;GEOSCIENCES& MULTIDISCIPLINARY;地球科学综合;2区;3区;2区,否,否,地球科学 ,3区,GEOGRAPHY& PHYSICAL;自然地理;4区;4区;3区;GEOSCIENCES& MULTIDISCIPLINARY;地球科学综合;2区;3区;2区,否,否
JOURNAL OF GLAUCOMA,医学 ,4区,OPHTHALMOLOGY;眼科学;4区;1区;3区,否,否,医学 ,3区,OPHTHALMOLOGY;眼科学;4区;1区;3区,否,否
JOURNAL OF GLOBAL OPTIMIZATION,数学 ,2区,MATHEMATICS& APPLIED;应用数学;1区;2区;2区;OPERATIONS RESEARCH & MANAGEMENT SCIENCE;运筹学与管理科学;4区;4区;4区,否,否,数学 ,3区,MATHEMATICS& APPLIED;应用数学;1区;2区;2区;OPERATIONS RESEARCH & MANAGEMENT SCIENCE;运筹学与管理科学;4区;4区;4区,否,否
JOURNAL OF GRAPH THEORY,数学 ,4区,MATHEMATICS;数学;1区;4区;3区,否,否,数学 ,2区,MATHEMATICS;数学;1区;4区;3区,否,否
JOURNAL OF GREAT LAKES RESEARCH,环境科学与生态学 ,3区,ENVIRONMENTAL SCIENCES;环境科学;2区;2区;4区;LIMNOLOGY;湖沼学;1区;1区;3区;MARINE & FRESHWATER BIOLOGY;海洋与淡水生物学;3区;4区;3区,否,否,环境科学与生态学 ,3区,ENVIRONMENTAL SCIENCES;环境科学;2区;2区;4区;LIMNOLOGY;湖沼学;1区;1区;3区;MARINE & FRESHWATER BIOLOGY;海洋与淡水生物学;3区;4区;3区,否,否
Journal of Grey System,数学 ,4区,MATHEMATICS& INTERDISCIPLINARY APPLICATIONS;数学跨学科应用;3区;3区;4区,否,否,工程技术 ,4区,MATHEMATICS& INTERDISCIPLINARY APPLICATIONS;数学跨学科应用;3区;3区;4区,否,否
Journal of Grid Computing,工程技术 ,3区,COMPUTER SCIENCE& INFORMATION SYSTEMS;计算机：信息系统;4区;2区;2区;COMPUTER SCIENCE& THEORY & METHODS;计算机：理论方法;1区;3区;2区,否,否,计算机科学 ,3区,COMPUTER SCIENCE& INFORMATION SYSTEMS;计算机：信息系统;4区;2区;2区;COMPUTER SCIENCE& THEORY & METHODS;计算机：理论方法;1区;3区;2区,否,否
JOURNAL OF GROUP THEORY,数学 ,4区,MATHEMATICS;数学;2区;1区;4区,否,否,数学 ,3区,MATHEMATICS;数学;2区;1区;4区,否,否
JOURNAL OF GUIDANCE CONTROL AND DYNAMICS,工程技术 ,3区,ENGINEERING& AEROSPACE;工程：宇航;3区;2区;2区;INSTRUMENTS & INSTRUMENTATION;仪器仪表;4区;1区;3区,否,否,工程技术 ,2区,ENGINEERING& AEROSPACE;工程：宇航;3区;2区;2区;INSTRUMENTS & INSTRUMENTATION;仪器仪表;4区;1区;3区,否,否
Journal of Gynecologic Oncology,医学 ,3区,OBSTETRICS & GYNECOLOGY;妇产科学;3区;1区;2区;ONCOLOGY;肿瘤学;4区;1区;3区,否,否,医学 ,2区,OBSTETRICS & GYNECOLOGY;妇产科学;3区;1区;2区;ONCOLOGY;肿瘤学;4区;1区;3区,否,否
JOURNAL OF HAND SURGERY-AMERICAN VOLUME,医学 ,4区,ORTHOPEDICS;骨科;1区;1区;4区;SURGERY;外科;4区;1区;4区,否,否,医学 ,3区,ORTHOPEDICS;骨科;1区;1区;4区;SURGERY;外科;4区;1区;4区,否,否
Journal of Hand Surgery-European Volume,医学 ,3区,ORTHOPEDICS;骨科;2区;1区;3区;SURGERY;外科;4区;2区;3区,否,否,医学 ,2区,ORTHOPEDICS;骨科;2区;1区;3区;SURGERY;外科;4区;2区;3区,否,否
Journal of Hand Therapy,医学 ,4区,ORTHOPEDICS;骨科;4区;4区;4区;REHABILITATION;康复医学;1区;2区;4区;SURGERY;外科;1区;1区;4区,否,否,医学 ,4区,ORTHOPEDICS;骨科;4区;4区;4区;REHABILITATION;康复医学;1区;2区;4区;SURGERY;外科;1区;1区;4区,否,否
Journal of Hard Tissue Biology,医学 ,4区,ENGINEERING& BIOMEDICAL;工程：生物医学;2区;2区;4区,否,否,工程技术 ,4区,ENGINEERING& BIOMEDICAL;工程：生物医学;2区;2区;4区,否,否
JOURNAL OF HAZARDOUS MATERIALS,经LetPub修改润色后发表在《J HAZARD MATER》上，作者来信感谢的范例---1篇,LetPub助力作者发表在《J HAZARD MATER》上的文章案例，致谢部分提及LetPub---3篇,环境科学与生态学 ,1区,ENGINEERING& ENVIRONMENTAL;工程：环境;4区;1区;2区;ENVIRONMENTAL SCIENCES;环境科学;1区;2区;1区,是,否,环境科学与生态学 ,1区,ENGINEERING& ENVIRONMENTAL;工程：环境;4区;1区;2区;ENVIRONMENTAL SCIENCES;环境科学;1区;2区;1区,是,否
JOURNAL OF HEAD TRAUMA REHABILITATION,医学 ,3区,CLINICAL NEUROLOGY;临床神经病学;4区;3区;3区;REHABILITATION;康复医学;3区;1区;2区,否,否,医学 ,2区,CLINICAL NEUROLOGY;临床神经病学;4区;3区;3区;REHABILITATION;康复医学;3区;1区;2区,否,否
JOURNAL OF HEADACHE AND PAIN,医学 ,2区,CLINICAL NEUROLOGY;临床神经病学;1区;3区;3区;NEUROSCIENCES;神经科学;4区;3区;3区,否,否,医学 ,2区,CLINICAL NEUROLOGY;临床神经病学;1区;3区;3区;NEUROSCIENCES;神经科学;4区;3区;3区,否,否
JOURNAL OF HEALTH ECONOMICS,社会科学 ,1区,HEALTH CARE SCIENCES & SERVICES;卫生保健与服务;1区;4区;2区,是,否,经济学 ,2区,HEALTH CARE SCIENCES & SERVICES;卫生保健与服务;1区;4区;2区,否,否
JOURNAL OF HEALTH POLITICS POLICY AND LAW,医学 ,4区,HEALTH CARE SCIENCES & SERVICES;卫生保健与服务;3区;2区;4区,否,否,医学 ,3区,HEALTH CARE SCIENCES & SERVICES;卫生保健与服务;3区;2区;4区,否,否
JOURNAL OF HEALTH POPULATION AND NUTRITION,医学 ,4区,ENVIRONMENTAL SCIENCES;环境科学;3区;3区;4区;PUBLIC& ENVIRONMENTAL & OCCUPATIONAL HEALTH;公共卫生、环境卫生与职业卫生;2区;1区;4区,否,否,医学 ,3区,ENVIRONMENTAL SCIENCES;环境科学;3区;3区;4区;PUBLIC& ENVIRONMENTAL & OCCUPATIONAL HEALTH;公共卫生、环境卫生与职业卫生;2区;1区;4区,否,否
JOURNAL OF HEALTH SCIENCE,
JOURNAL OF HEART AND LUNG TRANSPLANTATION,医学 ,1区,CARDIAC & CARDIOVASCULAR SYSTEMS;心脏和心血管系统;4区;4区;2区;RESPIRATORY SYSTEM;呼吸系统;1区;1区;2区;SURGERY;外科;2区;3区;1区;TRANSPLANTATION;移植;1区;3区;1区,是,否,医学 ,1区,CARDIAC & CARDIOVASCULAR SYSTEMS;心脏和心血管系统;4区;4区;2区;RESPIRATORY SYSTEM;呼吸系统;1区;1区;2区;SURGERY;外科;2区;3区;1区;TRANSPLANTATION;移植;1区;3区;1区,是,否
JOURNAL OF HEART VALVE DISEASE,
JOURNAL OF HEAT TRANSFER-TRANSACTIONS OF THE ASME,期刊J HEAT TRANS-T ASME推荐LetPub的编辑服务,工程技术 ,4区,ENGINEERING& MECHANICAL;工程：机械;1区;2区;4区;THERMODYNAMICS;热力学;2区;2区;4区,否,否,工程技术 ,4区,ENGINEERING& MECHANICAL;工程：机械;1区;2区;4区;THERMODYNAMICS;热力学;2区;2区;4区,否,否
JOURNAL OF HELMINTHOLOGY,生物 ,4区,PARASITOLOGY;寄生虫学;1区;1区;4区;ZOOLOGY;动物学;2区;1区;3区,否,否,生物学 ,3区,PARASITOLOGY;寄生虫学;1区;1区;4区;ZOOLOGY;动物学;2区;1区;3区,否,否
Journal of Hematology & Oncology,经LetPub修改润色后发表在《J HEMATOL ONCOL》上，作者来信感谢的范例---1篇,LetPub助力作者发表在《J HEMATOL ONCOL》上的文章案例，致谢部分提及LetPub---3篇,医学 ,1区,HEMATOLOGY;血液学;2区;3区;2区;ONCOLOGY;肿瘤学;4区;4区;2区,是,否,医学 ,1区,HEMATOLOGY;血液学;2区;3区;2区;ONCOLOGY;肿瘤学;4区;4区;2区,是,否
Journal of Hepato-Biliary-Pancreatic Sciences,医学 ,3区,GASTROENTEROLOGY & HEPATOLOGY;胃肠肝病学;3区;3区;4区;SURGERY;外科;1区;2区;3区,否,否,医学 ,3区,GASTROENTEROLOGY & HEPATOLOGY;胃肠肝病学;3区;3区;4区;SURGERY;外科;1区;2区;3区,否,否
JOURNAL OF HEPATOLOGY,医学 ,1区,GASTROENTEROLOGY & HEPATOLOGY;胃肠肝病学;3区;2区;1区,是,否,医学 ,1区,GASTROENTEROLOGY & HEPATOLOGY;胃肠肝病学;3区;2区;1区,是,否
JOURNAL OF HEREDITY,期刊JOURNAL OF HEREDITY推荐LetPub的编辑服务,生物 ,3区,EVOLUTIONARY BIOLOGY;进化生物学;3区;2区;4区;GENETICS & HEREDITY;遗传学;2区;4区;4区,否,否,生物学 ,2区,EVOLUTIONARY BIOLOGY;进化生物学;3区;2区;4区;GENETICS & HEREDITY;遗传学;2区;4区;4区,否,否
JOURNAL OF HERPETOLOGY,生物 ,4区,ZOOLOGY;动物学;3区;2区;4区,否,否,生物学 ,4区,ZOOLOGY;动物学;3区;2区;4区,否,否
JOURNAL OF HETEROCYCLIC CHEMISTRY,化学 ,4区,CHEMISTRY& ORGANIC;有机化学;4区;3区;4区,否,否,化学 ,4区,CHEMISTRY& ORGANIC;有机化学;4区;3区;4区,否,否
JOURNAL OF HEURISTICS,工程技术 ,4区,COMPUTER SCIENCE& ARTIFICIAL INTELLIGENCE;计算机：人工智能;4区;3区;4区;COMPUTER SCIENCE& THEORY & METHODS;计算机：理论方法;2区;2区;4区,否,否,计算机科学 ,4区,COMPUTER SCIENCE& ARTIFICIAL INTELLIGENCE;计算机：人工智能;4区;3区;4区;COMPUTER SCIENCE& THEORY & METHODS;计算机：理论方法;2区;2区;4区,否,否
